F12014,A/CHICKEN/SOUTHSULAWESIMAKASSAR/157B/2011
F12015,A/CHICKEN/WESTJAVASUKABUMI/006A/2008
F12016,A/CHICKEN/WESTJAVASUKABUMI/006B/2008
F09035,A/NL/602A/09
F09036,A/NL/602B/09
F09037,A/Cal/004A/09
F09038,A/Cal/004B/09
F10001,A/Cal/007A/09
F10002,A/Cal/007B/09
F11011,A/NL/219A/11
F11012,A/NL/219B/11
F11013,A/NL/007A/10
F11014,A/NL/007B/10
F11019,A/NL/151A/11
F11020,A/NL/151B/11
F11032,A/NL/2001A/09
F11033,A/NL/2001B/09
F05005,A/NL/128/04
F05013,A/NCa/20/99
F07008,A/SIs/3/06
F08016,A/BR/59/07
F10003,X-181A
F591,A/BY/7/95
F78036,A/USSR/92/77
F82012,A/BZ/11/78
F84012,A/CL/1/83
F86046,A/NJ/8/76
F90018,A/TA/1/86
F96006,A/TX/36/91
F98011,A/BE/262/95
F12049,A/MulderA/57
F12050,A/MulderB/57
F12051,A/BakkerA/68
F12052,A/BakkerB/68
F12021,A/BI/16190A/68
F12022,A/BI/16190B/68
F12025,A/BI/93A/70
F12026,A/BI/93B/70
F12027,A/BI/21793A/72
F12028,A/BI/21793B/72
F12029,A/BI/1761A/76
F12030,A/BI/1761B/76
F12031,A/BI/2271A/76
F12032,A/BI/2271B/76
F12033,A/NL/233A/82
F12034,A/NL/233B/82
F12035,A/NL/620A/89
F12036,A/NL/620B/89
F12037,A/NL/823A/92
F12038,A/NL/823B/92
F12039,A/NL/179A/93
F12040,A/NL/179B/93
F12003,A/NL/178A/95
F12004,A/NL/178B/95
F12041,A/NL/301A/99
F12042,A/NL/301B/99
F12023,A/NL/213A/03
F12024,A/NL/213B/03
F12043,A/NL/132A/04
F12044,A/NL/132B/04
F12045,A/NL/69A/07
F12046,A/NL/69B/07
F12047,A/NL/69A/09
F12048,A/NL/69B/09
F13038,A/NL/42A/06
F13039,A/NL/42B/06
F13040,A/NL/69A/07
F13041,A/NL/69B/07
F13044,A/NL/63A/11
F13045,A/NL/63B/11
F07035,A/Brisbane/010/07
F12053,A/Ned/700/11
F12065,A/Ned/002/12
F13012,A/Ned/622/12
F13014,A/Victoria/361A/11
F13015,A/Victoria/361B/11
F14009,A/Ned/2249/13
F12057,IVR-165
F13016,X-223A
F12005,Mallard/NL/31A/06
F12006,Mallard/NL/31B/06
F12007,Mallard/NL/14A/07
F12008,Mallard/NL/14B/07
F12009,Netherlands/K1A/63
F12010,Netherlands/K1B/63
F12011,Netherlands/B1A/68
F12012,Netherlands/B1B/68
F70166,Japan/305A/57
F70225,Japan/305B/57
F75118,Japan/305C/57
F75119,Japan/305D/57
F78135,Japan/305E/57
F78136,Japan/305F/57
F83050,Singapore/1A/57
F83051,Singapore/1B/57
R2273,Singapore/1C/57
F15024,England/1A/66
F15025,England/1B/66
F15026,Tokyo/3A/67
F15027,Tokyo/3B/67
F05026,A/mallard/Sweden/49/2002
F16033,A/HongKong/483A/1997
F16034,A/HongKong/483B/1997
F16039,A/Vietnam/1194D/2004
F16040,A/Vietnam/1194E/2004
F16037,A/Indonesia/5F/2005
F16038,A/Indonesia/5G/2005
F16044,A/Anhui/1C/2005
F16013,A/Iraq/755A/2006
F16014,A/Iraq/755B/2006
F16021,A/Chicken/Netherlands/EMC-3A/2014
F16022,A/Chicken/Netherlands/EMC-3B/2014
F16025,A/Guangzhou/39715A/2014
F16026,A/Guangzhou/39715B/2014
F16027,A/Egypt/NO1753A/2014
F16028,A/Egypt/NO1753B/2014
F16029,A/Guizhou/1A/2013
F16030,A/Guizhou/1B/2013
F16036,A/goose/EasternChina/1112A/2011
F16035,A/goose/EasternChina/1112B/2011
F16045,A/Duck/Bangladesh/19097A/2013
F16046,A/Duck/Bangladesh/19097B/2013
F16055,A/gyrfalcon/Washington/41088-6A/2014
F16056,A/gyrfalcon/Washington/41088-6B/2014
F16031,A/Anhui/1/2005_156TA_222QL_224GS_A
F16032,A/Anhui/1/2005_156TA_222QL_224GS_B
F17013,A/Cambodia/x0810301A/2013
F17014,A/Cambodia/x0810301B/2013
F17030,A/duck/Vietnam/NCVD-1283A/2012
F17031,A/duck/Vietnam/NCVD-1283B/2012
F17032,A/CHICKEN/JIANGSU/K0101A/2010
F17033,A/CHICKEN/JIANGSU/K0101B/2010
F17034,A/Sichuan/26221A/2014
F17035,A/Sichuan/26221B/2014
F17036,A/duck/Jiangxi/0114_NCJD064-PA/2015
F17037,A/duck/Jiangxi/0114_NCJD064-PB/2015
F17038,A/CHICKEN/CHIPING/0321A/2014
F17039,A/CHICKEN/CHIPING/0321B/2014
F902,A/Indonesia/5/2005_156TA_222QL_224GS_VACC
F904,A/Iraq/755/2006_VACC
F906,A/turkey/Turkey/65596/2006_167TA_VACC
F908,A/Anhui/1/2005_156TA_222QL_224GS_VACC
F909,A/mallard/Sweden/49/2002_119KR_126DE_222QL_224GS_VACC
F912,A/Vietnam/1194/2004_156TA_222QL_224GS_VACC
