"","HK/1/68","HK/107/71","BI/21793/72","EN/42/72","PC/1/73","BI/5930/74","SL/840/74","VI/3A/75","VI/3C/75","AM/1609/77","TE/1A/77","TE/1B/77","BI/2461/78","BA/1/79","BA/2/79","EN/496/80","NL/209/80","RD/577/80","SH/31/80","NL/233/82","NL/241/82","PH/2/82","PH/2V/82","CE/1A/84","CE/1B/84","CC/4/85","NL/330/85","NL/333/85","ST/10/85","WE/4/85","CO/2/86","LE/360/86","SH/11/87","SI/2/87","VI/7/87","NL/450/88","BE/353/89","GU/54/89","NL/620/89","HK/34/90","VI/2/90","LY/1149/91","BE/32A/92","BE/32V/92","BE/32B/92","GD/25/93","MA/G252/93","OS/2352/93","SD/9/93","JO/33/94","NL/18/94","PR/413/94","FI/338/95","GE/A9509/95","LY/2279/95","NA/933/95","NL/1/95","NL/47/95","NL/218/95","WU/359B/95","BR/8/96","NL/172/96","SP/1/96","AU/10/97","NL/286/97","SY/5A/97","SY/5B/97","SY/5HAY/97","SY/5V/97","NL/5/98","MW/10/99","PM/2007/99","NL/118/01","NL/124/01","NL/126/01","FU/411/02","NL/1/02","NL/22/03","NL/88/03"
"SP/1/96","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","280","*","57","140","*","*","106","*","*","1120","218","*","*","*","226","488","505","128","166","135","*","685","606","747","*","720","*","320","*","100","*","*","*","*","*","*","*","*","*","*"
"AU/10/97","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","<10","*","*","*","<10","38","*","*","*","*","*","*","16","*","*","80","223","*","4434","60","*","2560","*","7680","196","*","*","*","*","*","*","*","*","*"
"HK/1/97","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","120","*","*","160","*","*","240","*","*","160","80","160","*","80","*","400","513","187","*","266","*","1280","969","1280","320","*","*","105","*","*","1846","*","*","*","*","*","*","*","*","*"
"HK/280/97","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","516","80","*","96","*","923","753","640","640","*","*","320","*","*","923","*","*","*","*","*","*","*","*","*"
"JO/10/97","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","120","*","*","320","*","*","90","*","*","358","98","320","*","253","*","264","278","80","*","160","*","*","494","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NE/491/97","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","320","378","109","*","105","*","462","467","640","640","*","*","250","*","*","923","*","*","*","*","*","*","*","*","*"
"NL/300/97","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","<10","*","*","<10","*","*","*","*","*","*","<10","*","<10","*","*","*","<10","*","*","*","*","63","*","*","*","*","*","115","381","48","3880","160","*","2560","*","2560","211","*","*","*","*","*","*","*","*","*"
"OS/21/97","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","50","*","*","800","*","*","70","*","*","560","160","1120","*","1120","*","402","453","80","*","160","*","*","556","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"OS/244/97","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","160","*","*","60","*","*","320","240","320","*","560","*","368","640","160","*","320","*","*","678","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SY/5/97","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","<10","*","*","<10","*","*","<5","*","*","<5","<10","*","<5","*","*","<5","<5","*","*","70","*","45","*","*","<10","*","320","80","116","*","3880","45","3541","3880","3840","2880","88","1353","2032","1466","1600","640","160","480","320","1280"
"NL/5/98","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","200","*","*","100","*","*","99","*","*","480","400","640","*","1120","*","422","383","160","*","*","1810","1280","475","2104","79","960","160","164","60","80","3056","80","*","*","30","*","<10","*","10","<10"
"NL/414/98","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","320","*","317","67","3413","120","1533","2560","1280","3200","*","1934","*","*","*","*","*","*","*","*"
"NL/427/98","<10","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","*","*","*","30","*","*","*","*","*","145","30","2560","*","2217","1280","1280","2560","115","*","*","*","*","*","*","*","*","*"
"NL/462/98","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","960","*","*","*","80","*","*","*","*","*","3004","7680","960","*","*","1604","1280","*","*","*","80","*","320","640"
"MW/10/99","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","58","*","*","*","1201","*","*","*","160","*","403","1197","960","599","40","480","160","160"
"NL/301/99","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","86","*","*","*","1874","*","*","*","320","2486","1280","1920","*","2560","*","1280","*","*"
"PM/2007/99","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1753","*","*","*","*","1465","2189","2933","2240","2217","40","2560","320","1280"
"NL/3/00","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","25","*","*","*","*","35","320","*","*","*","80","*","*","*","*","*","458","*","*","*","80","694","*","*","*","*","*","*","*","*"
"NL/118/01","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","3505","3387","2933","3840","2024","*","1280","*","*"
"NL/124/01","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","25","*","*","*","*","*","*","*","*","80","160","*","*","*","160","*","280","40","*","*","480","*","*","*","*","1440","640","1440","1011","960","640","*","640","1120"
"NL/126/01","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","669","*","*","*","*","784","847","1339","1440","1358","*","960","*","*"
"FU/411/02","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","<10","<10","*","*","*","<10","*","<10","10","*","*","*","*","*","*","*","160","320","*","560","*","2971","*","2342","101"
"NL/1/02","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","25","*","*","40","*","*","*","*","*","37","166","*","*","*","120","*","243","15","*","*","240","*","*","*","*","640","320","480","320","480","320","640","560","640"
"NL/120/02","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1920","*","*","*","*","1920","1920","1920","*","1920","*","1920","*","*"
"FI/170/03","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","20","20","*","*","*","20","*","50","<10","*","*","*","*","*","*","*","1280","1280","*","640","*","5120","*","5120","738"
"NL/20/03","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","100","*","*","*","*","*","*","*","*","160","200","*","*","*","280","*","640","160","*","*","800","*","*","*","*","1440","1280","2240","2021","1440","320","*","1120","3840"
"NL/22/03","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","40","25","*","*","*","25","*","100","15","*","*","60","*","*","*","*","160","113","70","*","80","3225","*","3225","508"
"NL/213/03","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","50","70","*","*","*","40","*","200","25","*","*","*","*","*","*","*","640","1280","*","1600","*","8127","*","5941","1171"
"NL/217/03","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","15","15","*","*","*","15","*","40","<10","*","*","*","*","*","*","*","640","640","*","560","*","4064","*","4064","254"
"NL/222/03","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","60","50","*","*","*","30","*","100","30","*","*","200","*","*","*","*","358","392","960","504","280","6709","*","5941","738"
