"","HK/1/68","HK/107/71","BI/21793/72","EN/42/72","PC/1/73","BI/5930/74","SL/840/74","VI/3A/75","VI/3C/75","AM/1609/77","TE/1A/77","TE/1B/77","BI/2461/78","BA/1/79","BA/2/79","EN/496/80","NL/209/80","RD/577/80","SH/31/80","NL/233/82","NL/241/82","PH/2/82","PH/2V/82","CE/1A/84","CE/1B/84","CC/4/85","NL/330/85","NL/333/85","ST/10/85","WE/4/85","CO/2/86","LE/360/86","SH/11/87","SI/2/87","VI/7/87","NL/450/88","BE/353/89","GU/54/89","NL/620/89","HK/34/90","VI/2/90","LY/1149/91","BE/32A/92","BE/32V/92","BE/32B/92","GD/25/93","MA/G252/93","OS/2352/93","SD/9/93","JO/33/94","NL/18/94","PR/413/94","FI/338/95","GE/A9509/95","LY/2279/95","NA/933/95","NL/1/95","NL/47/95","NL/218/95","WU/359B/95","BR/8/96","NL/172/96","SP/1/96","AU/10/97","NL/286/97","SY/5A/97","SY/5B/97","SY/5HAY/97","SY/5V/97","NL/5/98","MW/10/99","PM/2007/99","NL/118/01","NL/124/01","NL/126/01","FU/411/02","NL/1/02","NL/22/03","NL/88/03"
"NL/372/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","67","*","40","40","*","50","200","640","*","306","320","1280","*","480","*","1280","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/398/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","1737","*","80","1224","*","640","2240","*","*","2240","1120","640","*","1600","*","1120","*","*","*","*","*","*","240","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/399/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","117","*","40","190","*","92","70","320","*","423","240","560","*","400","*","280","*","*","*","*","*","*","400","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/440/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","139","*","*","689","*","40","923","*","453","320","*","*","3200","560","80","*","1920","*","320","*","*","*","*","*","*","100","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"OS/2219/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","231","*","20","403","*","226","2560","*","*","4480","2560","400","*","3200","*","640","*","*","*","*","*","*","240","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"OS/2352/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","50","*","*","365","*","*","381","*","202","58","50","1280","927","315","20","160","1440","*","70","*","1280","*","*","*","*","35","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"PA/287/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","40","*","640","320","*","2560","*","640","1280","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SD/9/93","*","<10","*","<10","<10","*","<10","*","<10","*","*","<10","*","<10","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","<10","20","<10","*","*","*","<10","*","298","*","<10","506","160","253","*","71","640","969","252","*","160","640","320","35","20","328","320","160","*","*","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SG/6/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","<10","*","<10","<10","*","40","400","<40","<10","554","*","*","240","*","*","3200","400","20","*","1920","*","280","*","*","*","*","*","*","100","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SL/142/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1197","*","40","560","*","*","560","*","640","1224","320","50","160","280","*","120","*","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SL/160/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","196","*","<40","320","*","*","2560","*","320","*","1280","280","640","1920","*","480","*","*","*","*","*","*","100","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SP/3/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","345","*","20","386","*","320","120","80","*","2024","280","35","*","960","*","100","*","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SP/19/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","40","110","*","80","140","320","*","320","320","1600","*","400","*","800","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"ST/20/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","183","*","*","402","*","92","421","*","291","3840","453","*","1781","2395","320","*","2240","*","453","80","*","*","*","*","*","416","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"VI/104/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","386","*","20","640","*","320","160","*","*","3200","320","90","*","800","*","140","*","*","*","*","*","*","240","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"WE/59/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","231","*","10","350","*","113","960","*","*","1120","1280","120","*","1600","*","280","*","*","*","*","*","*","200","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"YA/56/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","<10","*","<10","40","*","<10","320","<40","<10","599","*","*","160","*","*","1600","320","25","*","1120","*","120","*","*","*","*","*","*","100","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"YA/61/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","<10","*","<10","20","*","40","180","<40","<10","*","*","*","70","*","*","560","140","13","*","400","*","50","*","*","*","*","*","*","13","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"YA/62/93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<10","<10","*","<10","<10","*","40","200","<40","<10","423","*","*","70","*","*","1120","200","45","*","800","*","90","*","*","*","*","*","*","90","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"EN/7/94","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","57","*","<40","80","*","*","400","*","80","193","560","3200","1280","640","*","2240","*","*","*","*","*","*","480","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/1/94","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","212","*","160","196","*","160","1920","160","*","1568","2560","400","*","3200","*","640","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/2/94","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","277","*","80","196","*","160","1120","160","*","1197","960","240","*","800","*","280","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/55/94","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","291","*","80","299","*","160","2326","320","1280","1338","2326","2240","1280","1600","*","1920","*","2560","*","*","*","*","560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/56/94","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","320","*","80","358","*","160","4480","320","*","2217","4480","400","*","4480","*","1600","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"JO/33/94","<10","*","*","<10","<10","*","<10","*","<10","*","*","<10","*","<10","*","*","*","*","*","*","*","*","<10","*","*","*","*","*","*","*","*","<10","20","<10","*","*","<10","<10","*","*","*","<40","*","53","*","907","80","298","300","*","40","1280","254","640","253","*","884","158","1555","*","80","80","*","<10","20","*","<40","*","<10","40","*","*","*","*","*","*","*","*","*"
"JO/47/94","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<40","200","*","*","1197","320","320","583","1358","70","1280","140","*","45","*","1280","*","*","*","*","40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
